"learn_rate","dropout_rate","l2_reg","units1","units2","mean_auc","mean_epochs"
0.001,0.2,0.1,32,32,0.782141447067261,16
5e-04,0.2,0.1,32,32,0.792453750967979,27
0.001,0.3,0.1,32,32,0.788232803344727,25
5e-04,0.3,0.1,32,32,0.792231142520905,17
0.001,0.4,0.1,32,32,0.78731843829155,21
5e-04,0.4,0.1,32,32,0.790512800216675,21
0.001,0.5,0.1,32,32,0.783257976174355,16
5e-04,0.5,0.1,32,32,0.79213784635067,13
0.001,0.2,0.01,32,32,0.799840778112411,19
5e-04,0.2,0.01,32,32,0.804019972681999,16
0.001,0.3,0.01,32,32,0.799098774790764,6
5e-04,0.3,0.01,32,32,0.804553225636482,18
0.001,0.4,0.01,32,32,0.795420616865158,12
5e-04,0.4,0.01,32,32,0.80373577773571,18
0.001,0.5,0.01,32,32,0.796490922570229,23
5e-04,0.5,0.01,32,32,0.80274261534214,18
0.001,0.2,0.005,32,32,0.799897104501724,17
5e-04,0.2,0.005,32,32,0.805039823055267,24
0.001,0.3,0.005,32,32,0.801242008805275,12
5e-04,0.3,0.005,32,32,0.803993090987206,14
0.001,0.4,0.005,32,32,0.800457462668419,9
5e-04,0.4,0.005,32,32,0.805048167705536,21
0.001,0.5,0.005,32,32,0.802742183208466,19
5e-04,0.5,0.005,32,32,0.804349467158318,13
0.001,0.2,0.001,32,32,0.801452159881592,22
5e-04,0.2,0.001,32,32,0.799987033009529,31
0.001,0.3,0.001,32,32,0.802335321903229,16
5e-04,0.3,0.001,32,32,0.804120734333992,23
0.001,0.4,0.001,32,32,0.803583472967148,18
5e-04,0.4,0.001,32,32,0.803318604826927,27
0.001,0.5,0.001,32,32,0.80266547203064,23
5e-04,0.5,0.001,32,32,0.805714428424835,16
0.001,0.2,0.1,64,32,0.787893652915955,11
5e-04,0.2,0.1,64,32,0.792751237750053,12
0.001,0.3,0.1,64,32,0.786251857876778,16
5e-04,0.3,0.1,64,32,0.791978478431702,20
0.001,0.4,0.1,64,32,0.788412988185883,12
5e-04,0.4,0.1,64,32,0.791715830564499,19
0.001,0.5,0.1,64,32,0.781373679637909,18
5e-04,0.5,0.1,64,32,0.79111485183239,21
0.001,0.2,0.01,64,32,0.800501123070717,18
5e-04,0.2,0.01,64,32,0.80302494764328,15
0.001,0.3,0.01,64,32,0.800663694739342,12
5e-04,0.3,0.01,64,32,0.803252711892128,22
0.001,0.4,0.01,64,32,0.797673434019089,16
5e-04,0.4,0.01,64,32,0.80297826230526,15
0.001,0.5,0.01,64,32,0.795522823929787,23
